"SpeciesAuthor","MatrixPopulation","Lon","Lat"
"Actaea_spicata","Site A",17.6166666666667,58.95
"Actaea_spicata","Site B",17.55,58.9833333333333
"Adenocarpus_gibbsianus","Donana",-6.43333333333333,37.0333333333333
"Adenocarpus_gibbsianus","Hinojos",-6.36666666666667,37.2833333333333
"Adenocarpus_gibbsianus","Palos de la Frontera",-6.88333333333333,37.2166666666667
"Agrimonia_eupatoria","A",17.1333333333333,58.9333333333333
"Agrimonia_eupatoria","B",17.1333333333333,58.9333333333333
"Anarrhinum_fruticosum","Crevillente I",-0.8,38.2333333333333
"Arabis_fecunda","Charleys Gulch",-114.016861111111,46.2509444444444
"Arabis_fecunda","Lime Gulch",-112.801277777778,45.3848055555556
"Arabis_fecunda","Vipond park",-112.867194444444,45.6835
"Arenaria_bolosii","Puig de Massanella",2.8,39.8
"Armeria_merinoi","Melide",-8,42.95
"Armeria_merinoi","Torques",-7.96666666666667,42.9666666666667
"Aster_pyrenaeus","Bulnes",-4.81666666666667,43.2166666666667
"Astragalus_scaphoides","Haynes Creek",-113.016666666667,45.0666666666667
"Astragalus_scaphoides","Sheep Corral Gulch",-113.7,45
"Astragalus_scaphoides_2","Haynes Creek",-113.7,45.8666666666667
"Astragalus_scaphoides_2","McDevitt Creek",-113.7,45.8666666666667
"Astragalus_scaphoides_2","Sheep Corral Gulch",-113.7,45
"Astragalus_tremolsianus","Sierra de Grador",-2.76666666666667,36.8666666666667
"Astragalus_tyghensis","Site 10",-121.316666666667,45.1666666666667
"Astragalus_tyghensis","Site 13",-121.316666666667,45.15
"Astragalus_tyghensis","Site 25",-121.183333333333,45.2333333333333
"Astragalus_tyghensis","Site 4",-121.316666666667,45.1666666666667
"Astragalus_tyghensis","Site 41",-121.1,45.25
"Balsamorhiza_sagittata","Mount Jumbo",-113.95,46.8833333333333
"Brassica_insularis","Calcina",9.35,41.7166666666667
"Brassica_insularis","Corbaghiola",9.13333333333333,42.3166666666667
"Brassica_insularis","Inzecca",9.26666666666667,42.1
"Brassica_insularis","Teghime",9.43333333333333,42.7833333333333
"Cheirolophus_metlesicsii","Barranco de Anavingo",-16.4166666666667,28.3833333333333
"Cirsium_pitcheri_3","Indiana Dunes West Beach",-87.2,41.6166666666667
"Cirsium_pitcheri_4","CiPi 1",-87.2,41.6166666666667
"Cirsium_pitcheri_4","CiPi 2",-87,41.6666666666667
"Cirsium_pitcheri_4","CiPi 3",-87.25,41.6166666666667
"Cirsium_pitcheri_6","Illinois Beach State Park",-87.8,42.4166666666667
"Cirsium_pitcheri_8","Wilderness State Park",-84.934,45.717
"Cirsium_undulatum","Hays",-99.05,38.1333333333333
"Cleistes_divaricata_var._divaricata","Big Island",-78.3,34.0833333333333
"Corallorhiza_trifida","Ordesa",0.0833333333333333,42.6333333333333
"Cypripedium_calceolus","Oparzelisko",22.65,53.2666666666667
"Cypripedium_calceolus","Pogorzaly",22.65,53.2666666666667
"Cypripedium_calceolus_2","Sallent",0.350777777777778,42.7669722222222
"Cypripedium_fasciculatum","Region 3",-123.516666666667,42.3333333333333
"Cypripedium_fasciculatum","Region 4",-123.166666666667,42.25
"Cypripedium_fasciculatum","Region 5",-122.45,42.3333333333333
"Dicerandra_frutescens","Fireline Edge 1 (Pop 0)",-81.35075,27.1506111111111
"Dicerandra_frutescens","Fireline Edge 2 (Pop 11)",-81.3506666666667,27.1507777777778
